frame,reg,value
0,24,15
0,22,2
1,0,70
1,7,71
1,14,91
1,15,10
1,22,64
2,22,62
3,22,60
4,16,142
4,17,16
4,14,182
4,15,8
4,20,173
4,18,17
4,22,58
5,16,12
5,17,17
5,22,56
6,16,138
6,22,54
7,16,142
7,17,18
7,14,91
7,15,10
7,18,16
7,22,52
8,16,12
8,17,19
8,22,50
9,16,138
9,22,48
10,16,142
10,14,159
10,15,11
10,22,46
11,16,12
11,17,20
11,22,44
12,16,138
12,22,42
13,16,142
13,14,131
13,15,15
13,22,40
14,16,12
14,17,21
14,22,38
15,16,138
15,22,36
16,16,142
16,17,22
16,14,105
16,15,17
16,22,34
17,16,12
17,17,23
17,22,32
18,16,138
18,22,30
19,16,142
19,14,180
19,15,20
19,22,28
20,16,12
20,17,24
20,22,26
21,16,138
21,22,27
22,16,142
22,17,25
22,14,61
22,15,23
22,22,29
23,16,12
23,17,26
23,22,31
24,16,138
24,22,33
25,16,142
25,14,4
25,15,31
25,22,35
26,16,12
26,17,27
26,22,37
27,16,138
27,22,39
28,16,142
28,17,28
28,14,102
28,15,41
28,22,41
29,16,12
29,17,29
29,22,43
30,16,138
30,22,45
31,16,142
31,14,4
31,15,31
31,22,47
32,16,12
32,17,30
32,22,49
33,16,138
33,22,51
34,16,142
34,17,31
34,14,61
34,15,23
34,22,53
35,16,12
35,17,32
35,22,55
36,16,138
36,22,57
37,16,158
37,14,180
37,15,20
37,22,59
38,16,28
38,17,33
38,22,61
39,16,154
39,22,63
40,16,158
40,17,34
40,14,105
40,15,17
40,22,62
41,16,28
41,17,35
41,22,60
42,16,154
42,22,58
43,16,158
43,14,131
43,15,15
43,22,56
44,16,28
44,17,36
44,22,54
45,16,154
45,22,52
46,16,158
46,17,37
46,14,159
46,15,11
46,22,50
47,16,28
47,17,38
47,22,48
48,16,154
48,22,46
49,16,158
49,14,91
49,15,10
49,22,44
50,16,28
50,17,39
50,22,42
51,16,154
51,22,40
52,16,158
52,17,40
52,14,182
52,15,8
52,22,38
53,16,28
53,17,41
53,22,36
54,16,154
54,22,34
55,16,158
55,14,91
55,15,10
55,22,32
56,16,28
56,17,42
56,22,30
57,16,154
57,22,28
58,16,158
58,17,43
58,14,159
58,15,11
58,22,26
59,16,28
59,17,44
59,22,27
60,16,154
60,22,29
61,16,158
61,14,131
61,15,15
61,22,31
62,16,28
62,17,45
62,22,33
63,16,154
63,22,35
64,16,158
64,17,46
64,14,105
64,15,17
64,22,37
65,16,28
65,17,47
65,22,39
66,16,154
66,22,41
67,16,158
67,14,180
67,15,20
67,22,43
68,16,28
68,17,48
68,22,45
69,16,154
69,22,47
70,16,174
70,17,49
70,14,61
70,15,23
70,22,49
71,16,44
71,17,50
71,22,51
72,16,170
72,22,53
73,16,174
73,14,4
73,15,31
73,22,55
74,16,44
74,17,51
74,22,57
75,16,170
75,22,59
76,16,174
76,14,102
76,15,41
76,22,61
77,16,44
77,17,52
77,22,63
78,16,170
78,22,62
79,16,174
79,17,53
79,14,4
79,15,31
79,22,60
80,16,44
80,17,54
80,22,58
81,16,170
81,22,56
82,16,174
82,14,61
82,15,23
82,22,54
83,16,44
83,17,55
83,22,52
84,16,170
84,22,50
85,16,174
85,17,56
85,14,180
85,15,20
85,22,48
86,16,44
86,17,57
86,22,46
87,16,170
87,22,44
88,16,174
88,14,105
88,15,17
88,22,42
89,16,44
89,17,58
89,22,40
90,16,170
90,22,38
91,16,174
91,17,59
91,14,131
91,15,15
91,22,36
92,16,44
92,17,60
92,22,34
93,16,170
93,22,32
94,16,174
94,14,159
94,15,11
94,22,30
95,16,44
95,17,61
95,22,28
96,16,174
96,14,91
96,15,10
96,22,26
97,16,44
97,17,62
97,22,27
98,16,170
98,22,29
